short_window,long_window,mean_return,std_return,mean_max_drawdown,mean_sharpe_ratio,mean_num_trades
5,20,-0.19234145165632213,0.0056503033695620465,-0.9966388368149225,-0.0008011627041469592,233.0
5,30,-0.1796083886730787,0.0012925107850482358,-0.9997326060100675,-5.7564956750183134e-05,223.0
5,40,0.11893745047573465,0.0016007847825581002,-0.9999554903763116,6.94115649462158e-06,213.0
5,50,0.07174323855727213,0.00881649738400007,-0.999884997930376,1.0976879051048262e-05,203.0
10,20,0.17624215881817146,0.0010300059092317449,-0.999884997930376,2.5488411296981588e-05,233.0
10,30,-0.1731537140279269,0.0020697982990222257,-0.9997834589963992,-4.4431057759043135e-05,223.0
10,40,0.10570204664385577,0.002075794943618667,-0.9999701608299866,4.090359226325367e-06,213.0
10,50,0.05564995990547308,0.002042685871094763,-0.9999203860523881,5.9155323476237585e-06,203.0
15,20,0.08768229091742749,0.004688348660374191,-0.9966388368149225,0.00039084389809803337,233.0
15,30,-0.26800947263859937,0.002706123886181062,-0.9998168383577228,-5.610582743308669e-05,223.0
15,40,0.06220531110728311,0.001802851701930926,-0.9999763615261903,1.9276273229466595e-06,213.0
15,50,0.017568287527483295,0.0013150245787767734,-0.999938923918344,1.4510969218172268e-06,203.0
20,20,0.0,0.0,0.0,0.0,233.0
20,30,-0.20116569054787364,0.002588769696717432,-0.9999784717056445,-4.937414135689731e-06,223.0
20,40,0.05806617891666153,0.0010985452609185912,-0.9999808570909032,1.4568232295910395e-06,213.0
20,50,0.026946531097241745,0.0018009536705671852,-0.9999505393669426,1.808684041637273e-06,203.0
