final_value,total_return,max_drawdown,sharpe_ratio,num_trades
10263.590464514069,0.026359046451406964,-0.9999505393669426,1.7682389047968705e-06,203
10233.821085284204,0.023382108528420487,-0.9999505393669426,1.572549962778092e-06,203
10278.3097786698,0.027830977866980078,-0.9999505393669426,1.8663962355181794e-06,203
10277.047330712467,0.027704733071246768,-0.9999505393669426,1.859743674410602e-06,203
10245.041263418987,0.024504126341898802,-0.9999505393669426,1.6470208983733544e-06,203
10293.806748966515,0.029380674896651637,-0.9999505393669426,1.9706019592271372e-06,203
10281.212990767888,0.02812129907678873,-0.9999505393669426,1.8856124839572523e-06,203
10281.698076643457,0.028169807664345736,-0.9999505393669426,1.889747559451264e-06,203
10269.372583292381,0.02693725832923821,-0.9999505393669426,1.8084686079578035e-06,203
10270.752787454401,0.027075278745440023,-0.9999505393669426,1.8184601299021747e-06,203
